"platform","user","text","post_url","sentiment","theme","archetype"
"Instagram","karenpelcastre_","Fi fiuuuu que bonita!! Me encantó el primer conjunto 😍","https://www.instagram.com/p/DKDCQWCS883/","neutral","humor","la madre moderna"
"Instagram","jugando_con_las_hijas","Mi favorito fue el primerito","https://www.instagram.com/p/DKDCQWCS883/","positivo","humor","la madre moderna"
"Instagram","lorebermudez_","Qué bonita!","https://www.instagram.com/p/DKDCQWCS883/","neutral","practicidad","la amiga"
"Instagram","karina.rflores","El rojo que lindo te quedó, pero todos hermosos ❤️","https://www.instagram.com/p/DKDCQWCS883/","negativo","familia","la madre moderna"
"Instagram","gabbyhdzc","El rojo fue mi fav 😍","https://www.instagram.com/p/DKDCQWCS883/","positivo","familia","la hija"
"Instagram","adaluz.carvajal","Que bonitos ame el rojo y el último vestido 😍","https://www.instagram.com/p/DKDCQWCS883/","positivo","humor","la madre moderna"
"Instagram","mamafuera.deservicio.mx","El de cuadros rojos está divino!","https://www.instagram.com/p/DKDCQWCS883/","negativo","consejo","la madre protectora"
"Instagram","mrs.sadiee","A mi también me gusta mucho Dazy!!","https://www.instagram.com/p/DKDCQWCS883/","neutral","humor","la hija"
"Instagram","mamafrom.theblock","El rojo de dos piezas se te ve 👌🏻","https://www.instagram.com/p/DKDCQWCS883/","negativo","humor","la madre protectora"
"Instagram","momandrea.mx","El primero y el último 😍😍😍😍😍","https://www.instagram.com/p/DKDCQWCS883/","negativo","humor","la amiga"
"Instagram","karinaramosvz","Soy fan de Dazy!!!","https://www.instagram.com/p/DKDCQWCS883/","positivo","humor","la madre moderna"
"Instagram","conm.demama","El vestido azul esta precioso 😍","https://www.instagram.com/p/DKDCQWCS883/","negativo","consejo","la amiga"
"Instagram","nutrikidsbymariana","Me encantaron 😍😍","https://www.instagram.com/p/DKDCQWCS883/","neutral","consejo","la madre protectora"
"Instagram","ferjqn.f","Qué bonitaaaa","https://www.instagram.com/p/DKDCQWCS883/","positivo","familia","la madre protectora"
"Instagram","dennys_vaz","Me encantaron ! Que bonito todo 😍","https://www.instagram.com/p/DKDCQWCS883/","positivo","consejo","la hija"
"Instagram","marielisdiazz","El primero que huye es él y los deja solos en la lucha😂 no queremos ese dirigente sindical por favor JAJAJAJAJA","https://www.instagram.com/p/DMYrYfuB6AJ/","positivo","nostalgia","la madre moderna"
"Instagram","alberticosera2525","🤣🤣🤣 Ese golpe de estado no estuvo bien coordinado hay que llamar a la abuela pa que dirija mejor 😂😂😂","https://www.instagram.com/p/DMYrYfuB6AJ/","negativo","nostalgia","la hija"
"Instagram","cynthiaconfiltros","Jajajaja excelente actuacion de todos 👏❤️","https://www.instagram.com/p/DMYrYfuB6AJ/","positivo","humor","la madre moderna"
"Instagram","anasantosheredia","Yo no quiero sembrar cizaña ni mucho menos, solo digo que el jefe del grupo sindical fue el que los reunió y los sublevó y luego fue el primero en huir, dejó a los militantes abandonados en el frente. 😂😂","https://www.instagram.com/p/DMYrYfuB6AJ/","neutral","nostalgia","la amiga"
"Instagram","ijimenez74","Si la madre se había agachado a agarrar una chancla, no le había dado tiempo de huir😍😍😍😂😂😂😂retírense, reagrúpense, elaboren otra estrategia y vuelvan 😂😂😂😂😍😍😍suerte😂😂😂😂😂","https://www.instagram.com/p/DMYrYfuB6AJ/","neutral","humor","la hija"
"Instagram","only_sheyla13","Decidieron crear otro plan 😂","https://www.instagram.com/p/DMYrYfuB6AJ/","negativo","consejo","la amiga"
"Instagram","mangierubio","Uyyyy igualitos a los míos jajajajaja❤️😂","https://www.instagram.com/p/DMYrYfuB6AJ/","negativo","familia","la amiga"
"Instagram","rubichis1","Mil maneras de morir jajajaja","https://www.instagram.com/p/DMYrYfuB6AJ/","negativo","nostalgia","la amiga"
"Instagram","nicole.brito.712","Tienen que llevar la abuela materna al frente y verán como funciona o se la aplica o cocina 🤣🤣🤣","https://www.instagram.com/p/DMYrYfuB6AJ/","neutral","humor","la madre protectora"
"Instagram","anaykoqueta","Esa mamá merece nuevos auriculares que les dure más la batería 😂😂😂","https://www.instagram.com/p/DMYrYfuB6AJ/","neutral","consejo","la madre moderna"
"Instagram","cuquisff","patitas pa que las quiero jajajajaj todos arrancaron","https://www.instagram.com/p/DMYrYfuB6AJ/","neutral","practicidad","la amiga"
"Instagram","arieldariorossi","Que lindo video, 😂😂😂😂😂😂😂😂","https://www.instagram.com/p/DMYrYfuB6AJ/","positivo","nostalgia","la amiga"
"Instagram","lily761307","😂😂😂😂","https://www.instagram.com/p/DMYrYfuB6AJ/","positivo","humor","la madre moderna"
"Instagram","esperanzadias170","🤣❤️👏pero el sindicato salió a correr 🏃 de primera instancia 😂🤪😜😛😍😍😍😍😍😍😍😍😍😍un equipo para la actuación 🎬 🤣👏❤️","https://www.instagram.com/p/DMYrYfuB6AJ/","negativo","familia","la amiga"
"Instagram","yessika.esquivel.3","Jajajajaja y el primero que huye es el papá 😂😂","https://www.instagram.com/p/DMYrYfuB6AJ/","neutral","familia","la amiga"
"Instagram","emy_.puent","Que miedo, ojalá en 10 años me pase 😭😭","https://www.instagram.com/p/DKYSBWIM6fu/","neutral","familia","la madre protectora"
"Instagram","mabelzuniga72","Mi mayor sueño😭❤️","https://www.instagram.com/p/DKYSBWIM6fu/","negativo","nostalgia","la amiga"
"Instagram","star_woony__","Aww, que lindos 😭🤍","https://www.instagram.com/p/DKYSBWIM6fu/","neutral","consejo","la madre moderna"
"Instagram","allizon924","Estoy muy chiquita 😭. Pero también mi mayor sueño 🤞🥺","https://www.instagram.com/p/DKYSBWIM6fu/","positivo","consejo","la madre moderna"
"Instagram","zai_valxz","ESTOY MUY CHIQUITA APENAS. TENGO 13 PERO EN UN FUTURO 😭","https://www.instagram.com/p/DKYSBWIM6fu/","neutral","consejo","la madre moderna"
"Instagram","2chaparrita_","Mi mayor sueño 🙌🏽😭😻","https://www.instagram.com/p/DKYSBWIM6fu/","neutral","nostalgia","la amiga"
"Instagram","andremaxgh27","Mi mayor sueño y mi más grande miedo ❤️","https://www.instagram.com/p/DKYSBWIM6fu/","positivo","familia","la hija"
"Instagram","ari_nava_18","Lo que más anhelo🥹✨","https://www.instagram.com/p/DKYSBWIM6fu/","negativo","consejo","la amiga"
"Instagram","2chaparrita_","Estoy muy chiquita 💕😭","https://www.instagram.com/p/DKYSBWIM6fu/","negativo","nostalgia","la amiga"
"Instagram","lulu_ludmi06","Ay, pero su mano en su pierna😭✨💕","https://www.instagram.com/p/DKYSBWIM6fu/","negativo","consejo","la hija"
"Instagram","4nethh","M MUEEEEROOO 😭😭😭💗","https://www.instagram.com/p/DKYSBWIM6fu/","positivo","practicidad","la madre moderna"
"Instagram","almaalavezz_","LA MANO LA MANO","https://www.instagram.com/p/DKYSBWIM6fu/","negativo","practicidad","la madre moderna"
"Instagram","shummei.npc","Así yo en 4 meses ❤️","https://www.instagram.com/p/DKYSBWIM6fu/","neutral","nostalgia","la madre moderna"
"Instagram","its_dann8","Que miedo, ojalá me pasé en 15 años pero con el amor de mi vida que lo será cuando yo crea que es el indicado 💗🥹","https://www.instagram.com/p/DKYSBWIM6fu/","negativo","consejo","la madre moderna"
"Instagram","isaaa._.mc","Metassssss 🥹💗","https://www.instagram.com/p/DKYSBWIM6fu/","positivo","practicidad","la amiga"
"TikTok","mayrita ❤️","dejen al papá ahora sólo 😂😂que sea la venganza de los niños","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","nostalgia","la madre protectora"
"TikTok","😎 🅻🆄🅸🆂 🅰🆈🅰🅻🅰 🇵🇪🍔","la traicion mi hermano es de kien menos lo imaginas jajajajaja","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la madre moderna"
"TikTok","𝙇𝙚𝙖𝙧𝙣𝙬𝙞𝙩𝙝🅻🆈🆁","no puede ser,creo que los niños tienen que entender que su papá no es su aliado 😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","nostalgia","la madre protectora"
"TikTok","Aleja lujan","esperando el capitulo LA VENGANZA DE LOS NIÑOS, parte final 😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la amiga"
"TikTok","damiannadales","lo siento niños cuando estén grandes entenderán porque la vida es un sacrificio 😭","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la madre protectora"
"TikTok","la tatty","nooooo jajjajajaja cuándo sea el turno de los niños me voy a reír mas 🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la amiga"
"TikTok","Veros","soldado que huye sirve para otra guerra😂😂😂😂😂😂😂pobre los chicos 😂😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","humor","la madre protectora"
"TikTok","juliaflorez","la peque: noooo papá 🤭","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la hija"
"TikTok","Iraida Arias Lopez","jajajaja, bien bueno. Por qué le tienen tanto miedo a la chancla de la mami!","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","nostalgia","la madre moderna"
"TikTok","Yolimarvalbuena.40","PAPA 🤣🤭😂🤪 TE PASASTES Y LO SABES 😁","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la madre protectora"
"TikTok","Mireya Arzaga🌵🪴","Ni la panini hubiera echo esa traición !!!!","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la hija"
"TikTok","Elhijodepiedad","Los niños vive con su enemigo 😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre protectora"
"TikTok","Karina Lizarazo🥰","Cambien de capitan niños 🤣🤣🤣","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","practicidad","la amiga"
"TikTok","Ac","La traición viene de quien menos lo esperas..... 😅😅","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","positivo","practicidad","la madre protectora"
"TikTok","Claudia","exijo una tercer parte, en donde el papá se quede solo con la esposa..","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la madre protectora"
"TikTok","Francisco Paniagua","😆 Pues lo dirán de broma pero sucede jaja","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","familia","la madre protectora"
"TikTok","user6853001319453","😂😂😂 jajjaaj se pasooooo","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","practicidad","la amiga"
"TikTok","yenivet","😂😂😂😂😂 tremendo apoyo","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","humor","la madre moderna"
"TikTok","Liliana","ay noooo al papá ahora dejenlo solito🤣😘😘😘tan bellos","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","familia","la hija"
"TikTok","jhoanix","No quiero imaginar su angustia de los niños jajaja. Fue desquite también del papá 😅","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","neutral","consejo","la hija"
"TikTok","Eliana","😂😂😂 Demasiado bueno.... segundo intento fallido😂😂😂","https://www.tiktok.com/@papas.de.cuatro/video/7530390174774136082","negativo","consejo","la hija"
